"safegraph_place_id","parent_safegraph_place_id","location_name","brands","latitude","longitude","street_address","city","region","postal_code","iso_country_code","polygon_wkt","polygon_class","includes_parking_lot","is_synthetic"
sg:d722f18a2fff4c66b5f279c56ae1b112,,Middle Child,,39.94718,-75.159475,248 S 11th St,Philadelphia,PA,19107,US,"POLYGON ((-75.159382 39.947198, -75.159394 39.94714, -75.159568 39.947162, -75.159557 39.94722, -75.159382 39.947198))",OWNED_POLYGON,false,false
sg:cfaa2008b5a54c4d8b6a6ee677cd24fb,sg:4dded547308a4414b57bbb493c4eddae,Jefferson Digestive Health Dr Kozuch,,39.949838,-75.158039,132 S 10th St Ste 480,Philadelphia,PA,19107,US,"POLYGON ((-75.158516 39.949473, -75.158569 39.94946, -75.158602 39.949486, -75.158606 39.949512, -75.158692 39.949523, -75.15856 39.950144, -75.158539 39.950141, -75.157144 39.949966, -75.157177 39.949814, -75.157181 39.949783, -75.157212 39.94964, -75.157186 39.949636, -75.157199 39.949577, -75.157223 39.94958, -75.157272 39.949351, -75.157378 39.949364, -75.157375 39.949377, -75.15771 39.949419, -75.157715 39.949396, -75.157814 39.949408, -75.157809 39.94943, -75.157912 39.949443, -75.157922 39.949398, -75.158516 39.949473))",SHARED_POLYGON,false,false
sg:f1a4ffa8e8a446759c6834409917f406,,Smokin Bettys,,39.949594,-75.15894,116 S 11th St,Philadelphia,PA,19107,US,"POLYGON ((-75.158847 39.949652, -75.158876 39.949518, -75.159088 39.949545, -75.15906 39.949676, -75.158847 39.949652))",SHARED_POLYGON,false,false
sg:f2249e3e4c6341bcb65b0043b45a83c8,,Olympik Tots Llc,,39.954799,-75.157063,1025 Cherry St Fl 1,Philadelphia,PA,19107,US,"POLYGON ((-75.156947 39.95491, -75.156999 39.954665, -75.157048 39.954671, -75.157054 39.954639, -75.157113 39.954646, -75.157106 39.954679, -75.15718 39.954688, -75.157125 39.954946, -75.156947 39.954923, -75.156947 39.95491))",OWNED_POLYGON,false,false
sg:f8077ebed55e435699db5bd251b9df58,,Don Quijote,,39.949106,-75.163652,1334 Walnut St,Philadelphia,PA,19107,US,"POLYGON ((-75.163536 39.949186, -75.16357 39.949035, -75.163634 39.949043, -75.163644 39.948992, -75.163628 39.94899, -75.16364 39.948933, -75.163768 39.948949, -75.163745 39.949055, -75.163758 39.949057, -75.163724 39.94921, -75.163536 39.949186))",SHARED_POLYGON,false,false
sg:2dc029e7af6d4eb4b4235cc2e89c82fa,,Residence Inn by Marriott,Residence Inn by Marriott,39.952622,-75.162183,1 Penn Sq E,Philadelphia,PA,19107,US,"POLYGON ((-75.16229599714279 39.952876707962396, -75.16219809651375 39.95288441836923, -75.1620090007782 39.95285923103701, -75.16201570630074 39.95281091245536, -75.16200497746468 39.95268240542315, -75.16202911734581 39.952561094563215, -75.16206800937653 39.95247987785028, -75.16212433576584 39.9523493140717, -75.16239657998085 39.95238324011686, -75.16229599714279 39.952876707962396))",OWNED_POLYGON,,false
sg:576017111cf740cc97b034ff63740b81,,Barbuzzo,,39.949993,-75.162153,110 S 13th St,Philadelphia,PA,19107,US,"POLYGON ((-75.162004 39.949999, -75.161995 39.949984, -75.162013 39.94995, -75.162308 39.949986, -75.162299 39.950036, -75.162004 39.949999))",OWNED_POLYGON,false,false
sg:687f40f67601447d827bec9b5cf1a402,,Ars Lab,,39.948459,-75.160823,204 S 12th St,Philadelphia,PA,19107,US,"POLYGON ((-75.160725 39.948424, -75.161001 39.94846, -75.16099 39.948513, -75.160989 39.948517, -75.160989 39.948519, -75.16094 39.948512, -75.160926 39.948516, -75.160904 39.948514, -75.160895 39.948506, -75.160823 39.948498, -75.160809 39.948502, -75.160787 39.948499, -75.160779 39.948492, -75.160696 39.948482, -75.1607 39.948464, -75.160696 39.948455, -75.160699 39.948437, -75.160706 39.948432, -75.160708 39.948422, -75.160725 39.948424))",SHARED_POLYGON,false,false
sg:66d7a62e28ae4889a65b65372e4ca79d,,Holiday Inn Express,Holiday Inn Express,39.949548,-75.162609,1305 Walnut St,Philadelphia,PA,19107,US,"POLYGON ((-75.162287 39.949835, -75.162341 39.949542, -75.162433 39.949553, -75.162446 39.94949, -75.162354 39.949479, -75.162424 39.949199, -75.162593 39.949221, -75.162598 39.949195, -75.162675 39.949204, -75.162669 39.949232, -75.162782 39.949247, -75.162781 39.949252, -75.162847 39.949261, -75.16271 39.949889, -75.162287 39.949835))",OWNED_POLYGON,false,false
sg:41880306568d48d1ba781618e3efbf99,,Valanni,,39.946921,-75.162186,1229 Spruce St,Philadelphia,PA,19107,US,"POLYGON ((-75.162197 39.946985, -75.162148 39.946979, -75.162199 39.946747, -75.162266 39.946756, -75.162243 39.946863, -75.162225 39.946861, -75.162197 39.946985))",OWNED_POLYGON,false,false
sg:73630596289d41c19e20d7820b6c5d92,,Panera Bread,Panera Bread,39.953782,-75.159676,48 N 12th St,Philadelphia,PA,19107,US,"POLYGON ((-75.1596312224865 39.953680984385855, -75.15976533293724 39.953693320891304, -75.159722417593 39.95388864859781, -75.15958562493324 39.95387014389165, -75.1596312224865 39.953680984385855))",OWNED_POLYGON,,false
sg:c3c3134f115d4a2eae5f238cb69a3a34,,Dunkin',Dunkin',39.950435,-75.15883,1100 Walnut St,Philadelphia,PA,19107,US,"POLYGON ((-75.15881985425949 39.95032091721602, -75.15888825058937 39.95033222623494, -75.15885472297668 39.95048335567248, -75.1587863266468 39.95047615904016, -75.1588024199009 39.95039288366835, -75.15881985425949 39.95032091721602))",OWNED_POLYGON,,false
sg:b51c417ddb054adbb07baa48c63f8ade,,Auntie Anne's,Auntie Anne's,39.951456,-75.155023,9th & Market Sts,Philadelphia,PA,19107,US,"POLYGON ((-75.153081 39.953068, -75.153246 39.952311, -75.153262 39.952236, -75.153497 39.952266, -75.153529 39.952121, -75.153477 39.952114, -75.153528 39.951877, -75.153514 39.951875, -75.15359 39.951522, -75.153606 39.951524, -75.153658 39.951282, -75.153792 39.951299, -75.153794 39.951292, -75.153885 39.951304, -75.153888 39.951292, -75.153941 39.951299, -75.153941 39.951293, -75.154016 39.951303, -75.154015 39.951308, -75.154288 39.951342, -75.154339 39.951351, -75.154337 39.951364, -75.15447 39.951381, -75.154473 39.951368, -75.154723 39.9514, -75.154725 39.951411, -75.155068 39.951455, -75.155033 39.951613, -75.154986 39.951607, -75.154975 39.951659, -75.155189 39.951686, -75.155186 39.951701, -75.155294 39.951715, -75.155311 39.951636, -75.155422 39.95165, -75.155455 39.951495, -75.156617 39.951643, -75.156575 39.951841, -75.156762 39.951865, -75.156791 39.951728, -75.156852 39.951736, -75.156944 39.951686, -75.15757 39.951766, -75.157747 39.951788, -75.157749 39.951777, -75.158038 39.951814, -75.158036 39.951822, -75.158212 39.951844, -75.15803 39.95269, -75.157909 39.952678, -75.157558 39.952631, -75.157555 39.952646, -75.157465 39.952635, -75.157468 39.95262, -75.157385 39.95261, -75.156633 39.952515, -75.156677 39.952311, -75.156479 39.952286, -75.156435 39.952491, -75.155676 39.952394, -75.155647 39.95253, -75.155691 39.952535, -75.155686 39.952559, -75.155961 39.952594, -75.155965 39.952575, -75.156043 39.952585, -75.156043 39.952608, -75.156357 39.952648, -75.156287 39.952977, -75.155969 39.952937, -75.155964 39.952958, -75.155887 39.952948, -75.155891 39.952928, -75.155366 39.952861, -75.155362 39.952883, -75.155285 39.952873, -75.155285 39.952852, -75.155022 39.952818, -75.155017 39.952844, -75.154965 39.952838, -75.15497 39.952812, -75.154934 39.952808, -75.155006 39.952473, -75.155357 39.952518, -75.155362 39.952497, -75.15544 39.952507, -75.155435 39.952529, -75.155507 39.952538, -75.155513 39.952512, -75.155576 39.95252, -75.155604 39.952388, -75.155041 39.952316, -75.155053 39.952257, -75.154896 39.952237, -75.154883 39.952295, -75.15358 39.952128, -75.153548 39.952274, -75.153584 39.952279, -75.153574 39.952327, -75.153664 39.952299, -75.153699 39.952293, -75.153753 39.952298, -75.153799 39.952325, -75.153822 39.952353, -75.153834 39.952384, -75.153828 39.952423, -75.153807 39.952453, -75.153779 39.952473, -75.153746 39.952485, -75.153682 39.952775, -75.153604 39.953135, -75.15321 39.953085, -75.153081 39.953068), (-75.15373 39.952346, -75.153675 39.952347, -75.153649 39.952364, -75.15364 39.952382, -75.153643 39.952411, -75.15366 39.952432, -75.153692 39.952441, -75.153725 39.952437, -75.153748 39.952424, -75.153764 39.952405, -75.153764 39.952377, -75.15373 39.952346))",SHARED_POLYGON,false,false
sg:f0dc65318907472aae4e09a73ebc2eb3,,Stay Alfred at The Collins,,39.949911,-75.160017,1125 Sansom St,Philadelphia,PA,19107,US,"POLYGON ((-75.159203 39.950198, -75.159263 39.949929, -75.159679 39.949982, -75.159756 39.949629, -75.160139 39.949678, -75.159997 39.950322, -75.159827 39.9503, -75.159832 39.950278, -75.159203 39.950198))",SHARED_POLYGON,false,false
