origin_cbg,destination_cbg,expected_contacts
420171001032,421010365021,2.7865522944414054
420171001032,421010365022,4.157403561211375
420171001042,420171001032,13.33417926512056
420171001042,420171001042,15.838301041559907
420171001042,420171001053,12.286889147434763
420171001042,420171002082,21.17634199084847
420171001042,420171002093,11.111816054267134
420171001042,420171002094,17.778905686827414
420171001042,421010325004,11.111816054267134
420171001042,421010330004,11.111816054267134
420171001042,421010348011,11.111816054267134
420171001042,421010348013,13.33417926512056
420171001042,421010349001,11.111816054267134
420171001042,421010349002,24.4459953193877
420171001042,421010353011,28.890721741094552
420171001042,421010353012,15.556542475973988
420171001042,421010353021,11.111816054267134
420171001042,421010353022,17.778905686827414
420171001042,421010355003,5.875365465838137
420171001042,421010357012,11.111816054267134
420171001042,421010361001,20.001268897680845
420171001042,421010361003,26.66835853024112
