GEOID,NAME,B01003_001_pop,B01001_002_male,B01001_026_female,B02001_002_White_alone,B02001_003_Black_or_African_American_alone,B02001_004_American_Indian_and_Alaska_Native_alone,B02001_005_Asian_alone,B02001_006_Native_Hawaiian_and_Other_Pacific_Islander_alone,B02001_007_Some_other_race_alone,B02001_008_Two_or_more_races:,B08013_001_RAVEL_TIME_TO_WORK,B01001_<20,B01001_20-34,B01001_35-54,B01001_55-74,B01001_75+,B23009_002_own_child_under18,B23009_023_no_child_under18
421010072001,"Block Group 1, Census Tract 72, Philadelphia County, Pennsylvania",746,0.0,0.5817694369973191,0.0160857908847185,0.9839142091152815,0.0,0.0,0.0,0.0,0.0,,0.25603217158176944,0.14745308310991956,0.13672922252010725,0.27479892761394104,0.1380697050938338,0.0,1.0
421010072002,"Block Group 2, Census Tract 72, Philadelphia County, Pennsylvania",650,0.0,0.4969230769230769,0.06769230769230769,0.9323076923076923,0.0,0.0,0.0,0.0,0.0,,0.2753846153846154,0.1076923076923077,0.2276923076923077,0.30153846153846153,0.033846153846153845,0.390625,0.609375
421010072003,"Block Group 3, Census Tract 72, Philadelphia County, Pennsylvania",519,0.04046242774566474,0.4393063583815029,0.04431599229287091,0.8959537572254336,0.0,0.019267822736030827,0.0,0.0,0.04046242774566474,,0.23121387283236994,0.2697495183044316,0.1811175337186898,0.3063583815028902,0.0,0.2627118644067797,0.7372881355932204
421010072004,"Block Group 4, Census Tract 72, Philadelphia County, Pennsylvania",698,0.21060171919770773,0.4498567335243553,0.024355300859598854,0.7650429799426934,0.0,0.0,0.0,0.0,0.21060171919770773,,0.336676217765043,0.18481375358166188,0.17765042979942694,0.23925501432664756,0.04011461318051576,0.543046357615894,0.45695364238410596
421010072005,"Block Group 5, Census Tract 72, Philadelphia County, Pennsylvania",759,0.011857707509881422,0.4650856389986825,0.0,0.9881422924901185,0.0,0.0,0.0,0.0,0.011857707509881422,,0.31752305665349145,0.3188405797101449,0.23847167325428195,0.09354413702239789,0.03162055335968379,0.3063583815028902,0.6936416184971098
421010072006,"Block Group 6, Census Tract 72, Philadelphia County, Pennsylvania",941,0.0021253985122210413,0.463336875664187,0.023379383634431455,0.793836344314559,0.0,0.179596174282678,0.0,0.0010626992561105207,0.0021253985122210413,,0.3071200850159405,0.18809776833156217,0.2879914984059511,0.14665249734325186,0.019128586609989374,0.563953488372093,0.436046511627907
421010073001,"Block Group 1, Census Tract 73, Philadelphia County, Pennsylvania",489,0.0,0.6952965235173824,0.10429447852760736,0.8957055214723927,0.0,0.0,0.0,0.0,0.0,,0.08793456032719836,0.17586912065439672,0.28629856850715746,0.2822085889570552,0.10633946830265849,0.2920353982300885,0.7079646017699115
421010073002,"Block Group 2, Census Tract 73, Philadelphia County, Pennsylvania",987,0.0,0.6980749746707193,0.00911854103343465,0.9807497467071935,0.0,0.0,0.0,0.010131712259371834,0.0,,0.3637284701114488,0.19655521783181357,0.2198581560283688,0.19959473150962512,0.0,0.3236994219653179,0.6763005780346821
421010073003,"Block Group 3, Census Tract 73, Philadelphia County, Pennsylvania",307,0.0,0.6579804560260586,0.4788273615635179,0.5211726384364821,0.0,0.0,0.0,0.0,0.0,,0.21498371335504887,0.23127035830618892,0.13680781758957655,0.3811074918566775,0.0,0.171875,0.828125
421010073004,"Block Group 4, Census Tract 73, Philadelphia County, Pennsylvania",868,0.026497695852534562,0.4228110599078341,0.04608294930875576,0.9112903225806451,0.016129032258064516,0.0,0.0,0.0,0.026497695852534562,,0.23732718894009217,0.3294930875576037,0.3064516129032258,0.11405529953917051,0.012672811059907835,0.1875,0.8125
421010074001,"Block Group 1, Census Tract 74, Philadelphia County, Pennsylvania",703,0.04694167852062589,0.5064011379800853,0.310099573257468,0.5817923186344239,0.0,0.06116642958748222,0.0,0.0,0.04694167852062589,,0.12944523470839261,0.4182076813655761,0.30014224751066854,0.14082503556187767,0.011379800853485065,0.07377049180327869,0.9262295081967213
421010074002,"Block Group 2, Census Tract 74, Philadelphia County, Pennsylvania",839,0.05125148986889154,0.4922526817640048,0.20381406436233612,0.7258641239570918,0.0,0.01907032181168057,0.0,0.0,0.05125148986889154,,0.22526817640047675,0.1501787842669845,0.29558998808104886,0.26460071513706795,0.06436233611442194,0.3027027027027027,0.6972972972972973
421010074003,"Block Group 3, Census Tract 74, Philadelphia County, Pennsylvania",1070,0.05514018691588785,0.3822429906542056,0.08691588785046729,0.8485981308411215,0.0,0.0,0.0,0.009345794392523364,0.05514018691588785,,0.3205607476635514,0.13457943925233645,0.22897196261682243,0.2626168224299065,0.02897196261682243,0.5241379310344828,0.47586206896551725
421010074004,"Block Group 4, Census Tract 74, Philadelphia County, Pennsylvania",1826,0.10733844468784227,0.547645125958379,0.02683461117196057,0.8658269441401971,0.0,0.0,0.0,0.0,0.10733844468784227,,0.4709748083242059,0.2940854326396495,0.12650602409638553,0.08050383351588171,0.013691128148959474,0.5486111111111112,0.4513888888888889
421010074005,"Block Group 5, Census Tract 74, Philadelphia County, Pennsylvania",476,0.0,0.3760504201680672,0.0,0.8928571428571429,0.0,0.0546218487394958,0.0,0.052521008403361345,0.0,,0.0,0.4096638655462185,0.12605042016806722,0.4054621848739496,0.018907563025210083,0.0,1.0
421010077001,"Block Group 1, Census Tract 77, Philadelphia County, Pennsylvania",1195,0.07615062761506276,0.4711297071129707,0.5146443514644351,0.1514644351464435,0.0,0.2410041841004184,0.0,0.016736401673640166,0.07615062761506276,,0.16652719665271967,0.6543933054393305,0.12384937238493723,0.045188284518828455,0.00502092050209205,0.6542056074766355,0.34579439252336447
421010077002,"Block Group 2, Census Tract 77, Philadelphia County, Pennsylvania",720,0.04583333333333333,0.43472222222222223,0.43194444444444446,0.3763888888888889,0.0,0.125,0.0,0.020833333333333332,0.04583333333333333,,0.33055555555555555,0.4236111111111111,0.13472222222222222,0.09722222222222222,0.006944444444444444,0.09333333333333334,0.9066666666666666
421010078001,"Block Group 1, Census Tract 78, Philadelphia County, Pennsylvania",927,0.020496224379719527,0.43581445523193096,0.36245954692556637,0.5587918015102481,0.0,0.034519956850053934,0.0,0.023732470334412083,0.020496224379719527,,0.022653721682847898,0.3851132686084142,0.24487594390507011,0.24271844660194175,0.040992448759439054,0.05084745762711865,0.9491525423728814
421010078002,"Block Group 2, Census Tract 78, Philadelphia County, Pennsylvania",404,0.0891089108910891,0.47029702970297027,0.42574257425742573,0.452970297029703,0.0,0.03217821782178218,0.0,0.0,0.0891089108910891,,0.11386138613861387,0.21287128712871287,0.2747524752475248,0.39851485148514854,0.0,0.37142857142857144,0.6285714285714286
421010078003,"Block Group 3, Census Tract 78, Philadelphia County, Pennsylvania",866,0.06697459584295612,0.5184757505773672,0.45381062355658197,0.3556581986143187,0.04157043879907621,0.06466512702078522,0.0,0.017321016166281754,0.06697459584295612,,0.24249422632794457,0.5046189376443418,0.1674364896073903,0.08545034642032333,0.0,0.8943089430894309,0.10569105691056911
421010078004,"Block Group 4, Census Tract 78, Philadelphia County, Pennsylvania",724,0.027624309392265192,0.5179558011049724,0.8729281767955801,0.09944751381215469,0.0,0.0,0.0,0.0,0.027624309392265192,,0.04281767955801105,0.4558011049723757,0.1408839779005525,0.30386740331491713,0.04281767955801105,0.25,0.75
421010078005,"Block Group 5, Census Tract 78, Philadelphia County, Pennsylvania",1235,0.07368421052631578,0.5149797570850202,0.625910931174089,0.1408906882591093,0.0,0.15951417004048582,0.0,0.0,0.07368421052631578,,0.16842105263157894,0.4688259109311741,0.14817813765182186,0.17732793522267207,0.03724696356275304,0.3782608695652174,0.6217391304347826
421010079001,"Block Group 1, Census Tract 79, Philadelphia County, Pennsylvania",871,0.045924225028702644,0.5671641791044776,0.46498277841561425,0.31917336394948337,0.0,0.16991963260619977,0.0,0.0,0.045924225028702644,,0.10562571756601608,0.5361653272101033,0.2330654420206659,0.09644087256027555,0.02870264064293915,0.3805970149253731,0.6194029850746269
421010079002,"Block Group 2, Census Tract 79, Philadelphia County, Pennsylvania",1451,0.08063404548587182,0.5065472088215024,0.653342522398346,0.14059269469331495,0.0,0.12543073742246727,0.0,0.0,0.08063404548587182,,0.23225361819434873,0.29152308752584427,0.28876636802205374,0.17574086836664368,0.01171605789110958,0.5156794425087108,0.4843205574912892
421010079003,"Block Group 3, Census Tract 79, Philadelphia County, Pennsylvania",1637,0.1795968234575443,0.5589492974954184,0.41783750763591937,0.2767257177764203,0.0,0.08185705558949298,0.02565668906536347,0.01832620647525962,0.1795968234575443,,0.2028100183262065,0.37629810629199756,0.24923640806353084,0.11850946854001222,0.04153940134392181,0.3901639344262295,0.6098360655737705
421010079004,"Block Group 4, Census Tract 79, Philadelphia County, Pennsylvania",932,0.06759656652360516,0.526824034334764,0.3851931330472103,0.4291845493562232,0.0,0.02145922746781116,0.0,0.09656652360515021,0.06759656652360516,,0.06866952789699571,0.526824034334764,0.1888412017167382,0.13841201716738197,0.06330472103004292,0.19318181818181818,0.8068181818181818
