visitor,home_geohash,home_cbg
15381403ce708dd824fa322094944f8c70339b02f9517aa11c33e1e249e5caa5,dr47rzm,421010118006
c6d922301f3e48fb72afc54d55c49397abbe65f188f7399f1e367ad445ea8ae6,dr47p7n,420454025001
622ccde36b02f74eba50fbe37b9d8f26643503ba95d9e18e1d7da493a199d151,dr47rcv,421010084003
9267f1f57921277d67e5d13b7d90326b6707dcb8d5ed983e7b36c1d11df42fd5,dr47rg3,421010096004
8d106085956a6e492575918f5135fd9c94c90b2f89cca8e5b598750ef6c4d1bd,dr47puf,421010064002
3d7321700840a91b7f0b2cdc6b38f3b3e16f0aa457e1fa706f5dbd41a011d2e3,dr47rvt,421010113003
3851acf83027b69378f26b059e895735146d524673b6f534f7d255e6771c5cc6,dr47rf1,421010083023
9b9b1e3dcbc9192b9bf7b7af70521e7961fb632763e4e417a03f33dc7ef60827,dr47rux,421010112004
f095a8972b41bdb953ccf5fa02aa84317103fc7d32344e6ada10be2aaa928393,dr47rmd,421010098011
3dff664d0c2a0c7d65f3a0acdff80a391a59252d71a7dfbc46304037f8703a08,dr47rt1,421010115004
25445b0bd294c5b0023fc6c8c5f8c94d4ef63d87af73bd83bf190938cbf44f2b,dr47rbg,421010082001
e487bd90950f2824a6aaca940aac3e27b73fb978fab61ef1897505b6176507da,dr47pej,420454023003
4c1ee9d284cdb4af7a49e3c95cd74c8775d69c4d127101a3d78699d8a373c298,dr47rbq,421010081012
e27afdc9cba9d37f93c6733ad0b0511118ee568d28d589aea28567f5be1895ff,dr47prj,420454017001
bdd70f5d2471a03a5ddb35dde91433f6f5af37ccd3fc34265f395f99d0c2efa3,dr47pg6,421010063004
b1a05e3c620ba56606fd91df3e40ef6ee01d9ccb0cda685b1c8d8bbdaa8023fb,dr47rgn,421010095002
4ab74eeb310622f7c451d9fe739172ee5c37d6aa3e5a23c6c782ec0e87c9ac72,dr47rzr,421010118002
a09fe6a32d7f68bc7e73d7d7c1f2f046a5d2feb1f8c4c40d4334bd4047a16d47,dr47pfx,421010062004
f55f6f810c87d5ad3da7cf98a91155c2fae335981bae81ab3225412a062eb256,dr47ruv,421010112005
aba5399fb8ffd8626d2a433c10efa6bca100d9d4b264ddbfdd5b39ef0ceb1211,dr47p8r,421010055003
8db17c9a03f2112954839e5232889d5ed14b070eb638694ff13ac6a4e713f36c,dr47pfr,421010062004
28b08556555fbe9a23d7f5c114593bbc9d377002cd68f6395d7a707e66f1e05b,dr47rtm,421010115003
b6ef5ffdfd16bff3b3933c19a51937be584edf331c5c80c7b22807196691e1a5,dr47pcq,421010060001
5a57c5800995efe55cb12cabff6e3885737c8128cbc79876e2a776f3fe611a5e,dr47qd7,420454011013
07ad31153cc7cc1d0b59f9ce038f92bfc4267a70fdb15e17173ebacdb81e3f30,dr47rce,421010083024
0334d33f71648f4bd5f3a7673ede42ce5ec7c77f68797199777b691843e3677d,dr47p8j,421010055003
fc3a3b6f92df271a61f7d83160183a0feeed3a5e92353b7df39c6ee7f5d54541,dr47rkg,421010098021
82db1c548fdfed17700475dec49ea5eb39fecc5b7437552090fe1c4a8507d867,dr47p9w,421010055001
4c6cdf014c2dbe34bdb44d77219baebcd914503ed3cd33226b192a5a9c0939a6,dr47rbx,421010081011
2aba0825e629fa88e54e38c91e6cd8a42d232afcad0a36a725059565eb617935,dr47r9w,421010083013
92cbcaa2c4243379045d567c72070d031dd080876c9eeef8f4b8d6c693650de6,dr47rcz,421010084001
f32ee1c840a867d8301349f71d78678463b9d0c64e703eb72eed311e8f23760c,dr47r32,420454004013
6c4abb7597d592d41eccca945bf3e2e4cdcbd76471566170899483361ac7ef80,dr47psn,420454023002
94835b9b13e07cd782af852feda89abb18477d40efaaf594ce85ae140345b870,dr47r2r,420454003022
ebe335ab1044b85e20f7feeebf7833bd129d84ab37f7cfe4eec5ab3edbe3fb8d,dr47r2m,420454003012
d20f8a223e83415560ff5c0b0e24116a4550bca4b24b33bbd7f444968fbcffc7,dr47pf4,421010060004
ddddec70ea903a4b9dcfe3d5fe2c1e1a7273aa11bfa90c95f01f84a3a4de1d0c,dr47pfe,421010060004
aa18dba255f2a0670b3d23adb9668808c0c0b2f1785dd95809326a0930c22051,dr47rdn,421010083012
bc143db54c89f73d25ea4ae2596d94e4f3f5ca21682440fee9fe6c45dde1bc96,dr47rch,421010083021
f0bbaff73af46ac2dd171131eaab68a8a6fde86018e3f747732ce0c0805971a7,dr47rb7,421010082002
a6a5b520a0ecb5e1d8b812f38912552abff12bfe3fb3b843546f54ffbde87683,dr47zur,421010218001
