safegraph_place_id,latitude,longitude,location_name,street_address,raw_visit_counts,distance_from_home,weighted_visit_counts,count_home_cbgs,visits_top_10_hours
sg:a38c6410d1514c379cba1fbb7fac80f5,40.044003,-75.126823,Brent's Barber Shop,329 W Spencer Ave,15,940.0,555.0,1,1.2
sg:ad78b43988194b668df9e47d38aeab4b,39.954272,-75.2122,New Tavern Bar,232 S 45th St,24,5657.0,1776.0,4,1.3
sg:ccf192424926400e90bcd6e43a6acd9b,39.95712,-75.19737099999998,Penn Medicine,3737 Market St,23,12356.0,1288.0,5,1.6
sg:e00f87c420524244b20a450f483c1c96,39.955442,-75.144343,Francis J Purcell Inc,251 N 3rd St,12,8763.0,132.0,1,1.0
sg:f40792e7ca774f1682dd8775d7871d37,39.989885,-75.180352,Victory Memorial Baptist Church,2214 N 29th St,31,1110.0,899.0,2,1.4
sg:0a1fa0d617f44da98bd63af55c644dc1,40.007603,-75.155156,God's Church of the Apostle's Doctrine,3534 N 16th St,11,,2629.0,1,1.0
sg:1b3536e946de48389b1236ecc1a481c9,39.981325,-75.179506,Berks Street Crabs,2718 Cecil B Moore Ave,50,4403.0,2725.0,1,2.4
sg:2571fedf6d5e475193958d749cf2c4fd,40.07468,-75.159774,Cricket Wireless,2538 W Cheltenham Ave,10,9322.0,280.0,3,1.0
sg:35cd10b6b3e44f0b9f55a156149c092c,40.054409,-75.08649399999999,Holy Trinity Church,6 Spruce,17,3819.0,204.0,6,1.1
sg:3653817a9cb846d5b90f6afb3683450a,39.954171,-75.211632,Abyssinia,229 S 45th St,10,,3120.0,1,1.0
sg:62494ef610df4651a0fdf4b2f82c2e92,40.075265,-75.047094,Galperin Zhanna MD,1822 Benton Ave Ste 1,62,2609.0,23622.0,4,2.5
sg:66968a30e498406598e69a40f74497aa,39.928224,-75.180841,1900 Cafe,1900 S 21st St,92,8452.0,7498.0,9,3.8
sg:8d56a4e69c1a461eb0e0c8b48ce97ecb,40.0476,-75.163228,New Gethsemane Baptist Church,917 E Chelten Ave,16,,3408.0,1,1.0
sg:bce46d1f9690438fbe4a8f11bd0cef30,40.029568,-75.145412,Rite Aid,1334 Windrim Ave,46,2810.0,529.0,7,1.9
sg:bf56328312a44b89b676ac21cda1f900,39.988137,-75.128253,Vientiane Bistro,2537 Kensington Ave,21,6027.0,1827.0,4,1.3
sg:c528d4278acb45f1b0a73370b45df90c,39.999041,-75.09183900000002,Walmart,2200 Wheatsheaf Ln,528,3833.0,21648.0,92,10.0
sg:d03c670d09164bf6869213dbb48adc13,40.022302,-75.127124,Philly Fair Trade Roasters,171 W Wyoming Ave,33,5178.0,2145.0,5,1.8
sg:d70cd06a284d441680ca37601e45e35f,40.124723,-75.015502,Restaurant Lanjeron,13032 Bustleton Ave,16,,3256.0,1,1.2
sg:e7e5a942d3bc4f6e8ea8cac6872e92a6,40.039111,-75.110372,Piccolo Joe Coffee Bar,5680 Rising Sun Ave,54,2158.0,378.0,9,1.9
sg:f115709f43b04fa39cdb2f4805e846fe,39.952631,-75.160567,Marriott Hotels,1201 Market Street Guest Entrance At 1200 Filbert,31,12065.0,1023.0,2,1.1
sg:f22b4422c17944cdacb33b2bd3ebfb50,39.920055,-75.15896500000002,Wendy's Deli,2312 S 7th St,43,1785.0,2580.0,6,2.1
